From,To
alumni/events/service/about.html,http://gsb.stanford.edu/alumni/featured-events/award-events/military-service-appreciation
alumni/events/tapestry,http://gsb.stanford.edu/alumni/featured-events/award-events/tapestry
alumni/events/tapestry/about.html,http://gsb.stanford.edu/alumni/featured-events/award-events/tapestry
alumni/events/virtual,http://gsb.stanford.edu/alumni/career-resources
alumni/events/virtual/alumni-weekend,http://gsb.stanford.edu/alumni/reunions/alumni-weekend/past-reunion-highlights
alumni/events/virtual/five-gsb-deans-webcast,http://gsb.stanford.edu/stanford-gsb-experience/news-history/history/oral-history-program
alumni/events/virtual/huggyrao,https://www.youtube.com/watch?v=XeJXviTHT8A
alumni/events/virtual/stevedalton,http://gsb.stanford.edu/alumni/career-resources/video-library/2-hour-job-search
alumni/help,http://gsb.stanford.edu/alumni/help
alumni/help/community.html,http://gsb.stanford.edu/alumni/help
alumni/help/directory.html,http://gsb.stanford.edu/alumni/communities/directories
alumni/help/discussions.html,http://gsb.stanford.edu/alumni/communities/classes-chapters-clubs-discussions
alumni/help/gsbnetfaq.html,http://gsb.stanford.edu/alumni/help
alumni/help/privacy.html,http://gsb.stanford.edu/alumni/help/privacy-profile
alumni/help/spam.html,http://gsb.stanford.edu/alumni/help/email
alumni/help/termsofuse.html,https://alumni-gsb.stanford.edu/get/page/terms
alumni/help/usernames.html,http://gsb.stanford.edu/alumni/help/site-login
alumni/libraryaccess,http://gsb.stanford.edu/alumni/career-resources/research/library-databases
alumni/libraryaccess/abi.html,http://gsb.stanford.edu/alumni/career-resources/research/library-databases/abi-inform-proquest
alumni/libraryaccess/businessmonitor.html,http://gsb.stanford.edu/alumni/career-resources/research/library-databases/business-monitor-online-international
alumni/libraryaccess/businesssource.html,http://gsb.stanford.edu/alumni/career-resources/research/library-databases/ebsco-business-source
alumni/libraryaccess/ebscoacademicsearch.html,http://gsb.stanford.edu/alumni/career-resources/research/library-databases/ebsco-business-source
alumni/libraryaccess/onesource.html,http://gsb.stanford.edu/alumni/career-resources/research/library-databases/onesource
alumni/libraryaccess/ref_usa.html,http://gsb.stanford.edu/alumni/career-resources/research/library-databases/referenceusa
alumni/libraryaccess/tablebase.html,http://gsb.stanford.edu/alumni/career-resources/research/library-databases/tablebase
alumni/libraryaccess/tips.html,http://gsb.stanford.edu/alumni/career-resources/research/library-databases
alumni/libraryaccess/toolbar.html,http://gsb.stanford.edu/alumni/career-resources/research/business-library-toolbar
alumni/mobile/discussions,http://gsb.stanford.edu/alumni/communities/classes-chapters-clubs-discussions
alumni/mobile/reunions,http://gsb.stanford.edu/alumni/reunions
alumni/networks,http://gsb.stanford.edu/alumni/communities
alumni/networks/chapters,http://gsb.stanford.edu/alumni/communities/classes-chapters-clubs-discussions
alumni/networks/class_sites,http://gsb.stanford.edu/alumni/communities/classes-chapters-clubs-discussions
alumni/networks/class_sites/class_secretaries.html,http://gsb.stanford.edu/alumni/contact/class-secretaries
alumni/networks/discussions,http://gsb.stanford.edu/alumni/communities/classes-chapters-clubs-discussions
alumni/networks/discussions/policy.html,https://alumni-gsb.stanford.edu/get/page/terms
alumni/networks/diversity,http://gsb.stanford.edu/alumni/communities/classes-chapters-clubs-discussions
alumni/networks/diversity/sbsbaa,http://gsb.stanford.edu/alumni/communities/black-gsb-alumni
alumni/networks/diversity/sbsbaa/directory,http://gsb.stanford.edu/alumni/communities/black-gsb-alumni
alumni/networks/diversity/sbsbaa/endowment.html,http://gsb.stanford.edu/alumni/communities/black-gsb-alumni
alumni/networks/diversity/sbshaa,http://gsb.stanford.edu/alumni/communities/hispanic-gsb-alumni
alumni/networks/diversity/sbshaa/directory,http://gsb.stanford.edu/alumni/communities/hispanic-gsb-alumni
alumni/networks/groups/career.html,http://gsb.stanford.edu/alumni/communities/classes-chapters-clubs-discussions
alumni/networks/groups/classifieds.html,http://gsb.stanford.edu/alumni/communities/classes-chapters-clubs-discussions
alumni/networks/groups/diversity.html,http://gsb.stanford.edu/alumni/communities/classes-chapters-clubs-discussions
alumni/networks/groups/industry.html,http://gsb.stanford.edu/alumni/communities/classes-chapters-clubs-discussions
alumni/networks/groups/interest-affinity.html,http://gsb.stanford.edu/alumni/communities/classes-chapters-clubs-discussions
alumni/networks/groups/interests.html,http://gsb.stanford.edu/alumni/communities/classes-chapters-clubs-discussions
alumni/networks/socialnetworking,http://gsb.stanford.edu/insights/follow
alumni/networks/socialnetworking/gsblinkedin.html,http://gsb.stanford.edu/insights/follow
alumni/networks/socialnetworking/gsbtwitter.html,http://gsb.stanford.edu/insights/follow
alumni/networks/student_alum/alum_mentoring_guidelines.html,http://gsb.stanford.edu/alumni/volunteering/academics-student-life
alumni/networks/student_alum/alum_mentoring.html,http://gsb.stanford.edu/alumni/volunteering/academics-student-life
alumni/networks/student_alum/alum_resource.html,http://gsb.stanford.edu/alumni/volunteering/academics-student-life/club-resource
alumni/networks/student_alum/dinners.html,http://gsb.stanford.edu/alumni/volunteering/academics-student-life/club-resource/alumni-student-dinners
alumni/newgrad-alumniemail,http://gsb.stanford.edu/alumni/help/email
alumni/NewToSocialNetworking,http://gsb.stanford.edu/alumni/reunions/alumni-weekend/past-reunion-highlights
alumni/node/36451,http://gsb.stanford.edu/alumni/reunions/alumni-weekend
alumni/node/5656,http://gsb.stanford.edu/alumni
alumni/node/75831,http://gsb.stanford.edu/alumni/reunions/plan-your-visit/spring-reunions
alumni/node/75871,http://gsb.stanford.edu/alumni/reunions
alumni/node/76636,http://gsb.stanford.edu/alumni/volunteering/act/projects
alumni/node/76726,http://gsb.stanford.edu/insights/hire-missionaries-not-mercenaries
alumni/node/76746,http://gsb.stanford.edu/insights/ilan-guttman-how-does-transparency-affect-financial-crises
alumni/node/76801,http://gsb.stanford.edu/insights/bruce-nevins-want-keep-fizz-your-business-eau-yes
alumni/node/76886,http://gsb.stanford.edu/insights/bob-moog-he-who-laughs-lasts
alumni/node/77761,http://gsb.stanford.edu/insights/follow
alumni/node/77766,http://gsb.stanford.edu/insights/follow
alumni/node/77836,https://sites.stanford.edu/gsbalumni/townsquare
alumni/node/78116,https://sites.stanford.edu/gsbalumni/townsquare
alumni/node/78136,http://gsb.stanford.edu/alumni/communities/gsb-women/mba-class-captains
alumni/node/78266,http://gsb.stanford.edu/alumni/reunions/mba-class-2009
alumni/node/78271,http://gsb.stanford.edu/alumni/reunions/mba-class-1994
alumni/node/78281,http://gsb.stanford.edu/alumni/reunions/mba-class-2013
alumni/node/79326,http://gsb.stanford.edu/alumni/reunions/plan-your-visit/spring-reunions
